Model,Name,Rating,Price,Link
Model: IPH-12M-64-GRN,Apple - Pre-Owned iPhone 12 Mini 5G 64GB (Unlocked) - Green,(54),369.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-mini-5g-64gb-unlocked-green/6516532.p?skuId=6516532
Model: IPH-12PM-128-GRY,Apple - Pre-Owned iPhone 12 Pro Max 5G 128GB (Unlocked) - Graphite,(65),699.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-pro-max-5g-128gb-unlocked-graphite/6510038.p?skuId=6510038
Model: IPH-12P-256-GRY,Apple - Pre-Owned iPhone 12 Pro 5G 256GB (Unlocked) - Graphite,(39),619.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-pro-5g-256gb-unlocked-graphite/6516535.p?skuId=6516535
Model: GSRF MGF43LL/A,Apple - Geek Squad Certified Refurbished iPhone 12 5G 64GB (Unlocked) - Black,(1),379.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-12-5g-64gb-unlocked-black/6563204.p?skuId=6563204
Model: IPH-12PM-256-BLE,Apple - Pre-Owned iPhone 12 Pro Max 5G 256GB (Unlocked) - Pacific Blue,Not Yet Reviewed,749.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-pro-max-5g-256gb-unlocked-pacific-blue/6516559.p?skuId=6516559
Model: A2341,Apple - Pre-Owned iPhone 12 Pro 5G 512GB (Unlocked) - Silver,(13),649.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-pro-5g-512gb-unlocked-silver/6528969.p?skuId=6528969
Model: IPH-12PM-512-GLD,Apple - Pre-Owned iPhone 12 Pro Max 5G 512GB (Unlocked) - Gold,(8),829.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-pro-max-5g-512gb-unlocked-gold/6516528.p?skuId=6516528
Model: GSRF MGF43LL/A,Apple - Geek Squad Certified Refurbished iPhone 12 5G 64GB (Unlocked) - Black,Not Yet Reviewed,999.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-12-5g-64gb-unlocked-black/6563212.p?skuId=6563212
Model: MPUH3LL/A,Apple - iPhone 14 128GB (Unlocked) - Midnight,(77),679.99,https://www.bestbuy.com/site/apple-iphone-14-128gb-unlocked-midnight/6507555.p?skuId=6507555
Model: A2649-WHT,Apple - Pre-Owned iPhone 14 5G 128GB (Unlocked) - Starlight,(5),649.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-5g-128gb-unlocked-starlight/6558736.p?skuId=6558736
Model: A2651,Apple - Pre-Owned iPhone 14 Pro Max 5G 128GB (Unlocked) - Silver,(3),999.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-max-5g-128gb-unlocked-silver/6562958.p?skuId=6562958
Model: A2650,Apple - Pre-Owned iPhone 14 Pro 5G 128GB (Unlocked) - Silver,(1),879.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-5g-128gb-unlocked-silver/6567281.p?skuId=6567281
Model: MQ643LL/A,Apple - iPhone 14 Plus 128GB (Unlocked) - Purple,(13),829.99,https://www.bestbuy.com/site/apple-iphone-14-plus-128gb-unlocked-purple/6507551.p?skuId=6507551
Model: A2651,Apple - Pre-Owned iPhone 14 Pro Max 5G 256GB (Unlocked) - Space Black,(9),"1,049.99",https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-max-5g-256gb-unlocked-space-black/6562960.p?skuId=6562960
Model: A2650,Apple - Pre-Owned iPhone 14 Pro 5G 256GB (Unlocked) - Gold,(1),949.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-5g-256gb-unlocked-gold/6567288.p?skuId=6567288
Model: MPUA3LL/A,Apple - iPhone 14 128GB - Midnight (Verizon),(191),20.27,https://www.bestbuy.com/site/apple-iphone-14-128gb-midnight-verizon/6505109.p?skuId=6505109
Model: MQ8W3LL/A,Apple - iPhone 14 Pro Max 256GB - Deep Purple (AT&T),(596),30.56,https://www.bestbuy.com/site/apple-iphone-14-pro-max-256gb-deep-purple-at-t/6487263.p?skuId=6487263
Model: MPUA3LL/A,Apple - iPhone 14 128GB - Midnight (AT&T),(217),20.28,https://www.bestbuy.com/site/apple-iphone-14-128gb-midnight-at-t/6504794.p?skuId=6504794
Model: MQ8W3LL/A,Apple - iPhone 14 Pro Max 256GB - Deep Purple (Verizon),(595),30.55,https://www.bestbuy.com/site/apple-iphone-14-pro-max-256gb-deep-purple-verizon/6487411.p?skuId=6487411
Model: A2649-BLU,Apple - Pre-Owned iPhone 14 5G 128GB (Unlocked) - Blue,(4),649.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-5g-128gb-unlocked-blue/6558737.p?skuId=6558737
Model: MQ8Q3LL/A,Apple - iPhone 14 Pro Max 128GB - Gold (Verizon),(379),27.77,https://www.bestbuy.com/site/apple-iphone-14-pro-max-128gb-gold-verizon/6487405.p?skuId=6487405
Model: MR5T3LL/A,Apple - iPhone 14 Plus 256GB - Yellow (Verizon),(28),25.83,https://www.bestbuy.com/site/apple-iphone-14-plus-256gb-yellow-verizon/6418066.p?skuId=6418066
Model: MQ3R3LL/A,Apple - iPhone 14 Plus 128GB - Midnight (Verizon),(122),23.05,https://www.bestbuy.com/site/apple-iphone-14-plus-128gb-midnight-verizon/6505124.p?skuId=6505124
Model: MPWU3LL/A,Apple - iPhone 14 512GB - Midnight (AT&T),(4),28.62,https://www.bestbuy.com/site/apple-iphone-14-512gb-midnight-at-t/6504805.p?skuId=6504805
Model: MPXT3LL/A,Apple - iPhone 14 Pro 128GB - Space Black (Verizon),(382),24.99,https://www.bestbuy.com/site/apple-iphone-14-pro-128gb-space-black-verizon/6487386.p?skuId=6487386
Model: MPVV3LL/A,Apple - iPhone 14 256GB - Midnight (Verizon),(41),23.05,https://www.bestbuy.com/site/apple-iphone-14-256gb-midnight-verizon/6505114.p?skuId=6505114
Model: A2650,Apple - Pre-Owned iPhone 14 Pro 5G 256GB (Unlocked) - Deep Purple,(1),949.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-5g-256gb-unlocked-deep-purple/6567287.p?skuId=6567287
Model: A2650,Apple - Pre-Owned iPhone 14 Pro 5G 128GB (Unlocked) - Deep Purple,(5),879.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-5g-128gb-unlocked-deep-purple/6567278.p?skuId=6567278
Model: MQ8W3LL/A,Apple - iPhone 14 Pro Max 256GB - Deep Purple (AT&T),(596),30.56,https://www.bestbuy.com/site/apple-iphone-14-pro-max-256gb-deep-purple-at-t/6487263.p?skuId=6487263
Model: A2651,Apple - Pre-Owned iPhone 14 Pro Max 5G 256GB (Unlocked) - Space Black,(9),"1,049.99",https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-max-5g-256gb-unlocked-space-black/6562960.p?skuId=6562960
Model: MPXT3LL/A,Apple - iPhone 14 Pro 128GB - Space Black (AT&T),(311),25.00,https://www.bestbuy.com/site/apple-iphone-14-pro-128gb-space-black-at-t/6487239.p?skuId=6487239
Model: MQ1D3LL/A,Apple - iPhone 14 Pro 256GB - Deep Purple (Verizon),(318),27.77,https://www.bestbuy.com/site/apple-iphone-14-pro-256gb-deep-purple-verizon/6487394.p?skuId=6487394
Model: A2651,Apple - Pre-Owned iPhone 14 Pro Max 5G 128GB (Unlocked) - Space Black,(6),999.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-14-pro-max-5g-128gb-unlocked-space-black/6562950.p?skuId=6562950
Model: MPXT3LL/A,Apple - iPhone 14 Pro 128GB - Space Black (Verizon),(382),24.99,https://www.bestbuy.com/site/apple-iphone-14-pro-128gb-space-black-verizon/6487386.p?skuId=6487386
Model: MQ8Q3LL/A,Apple - iPhone 14 Pro Max 128GB - Gold (Verizon),(379),27.77,https://www.bestbuy.com/site/apple-iphone-14-pro-max-128gb-gold-verizon/6487405.p?skuId=6487405
Model: MQ1D3LL/A,Apple - iPhone 14 Pro 256GB - Deep Purple (AT&T),(368),27.78,https://www.bestbuy.com/site/apple-iphone-14-pro-256gb-deep-purple-at-t/6487247.p?skuId=6487247
Model: MQ8V3LL/A,Apple - iPhone 14 Pro Max 256GB - Gold (Verizon),(594),30.55,https://www.bestbuy.com/site/apple-iphone-14-pro-max-256gb-gold-verizon/6487410.p?skuId=6487410
Model: MQ8Q3LL/A,Apple - iPhone 14 Pro Max 128GB - Gold (AT&T),(327),27.78,https://www.bestbuy.com/site/apple-iphone-14-pro-max-128gb-gold-at-t/6487258.p?skuId=6487258
Model: GSRF MQ8W3LL/A,New!Apple - Geek Squad Certified Refurbished iPhone 14 Pro Max 256GB - Deep Purple (AT&T),Not Yet Reviewed,989.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-14-pro-max-256gb-deep-purple-at-t/6567110.p?skuId=6567110
Model: GSRF MQ8N3LL/A,New!Apple - Geek Squad Certified Refurbished iPhone 14 Pro Max 128GB - Space Black (AT&T),Not Yet Reviewed,899.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-14-pro-max-128gb-space-black-at-t/6567098.p?skuId=6567098
Model: A2595,Apple - Pre-Owned iPhone SE 2022 5G (3rd Gen) 64GB (Unlocked) - Starlight,(29),329.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-se-2022-5g-3rd-gen-64gb-unlocked-starlight/6528519.p?skuId=6528519
Model: A037U,Samsung - Pre-Owned Galaxy A03s 32GB (Unlocked) - Black,(9),119.99,https://www.bestbuy.com/site/samsung-pre-owned-galaxy-a03s-32gb-unlocked-black/6530904.p?skuId=6530904
